"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 26, 2021","2,940.4131","2,931.5696","2,944.1145","2,912.6587","-","0.26%"
"Oct 25, 2021","2,932.7739","2,901.0193","2,949.1587","2,901.0193","-","1.10%"
"Oct 22, 2021","2,901.0061","2,880.2063","2,912.8308","2,866.8723","-","0.72%"
"Oct 21, 2021","2,880.2019","2,929.1194","2,940.4468","2,853.6296","-","-1.67%"
"Oct 20, 2021","2,929.1150","2,900.0620","2,929.9612","2,869.5122","-","1.00%"
"Oct 19, 2021","2,900.1431","2,892.8704","2,916.7285","2,873.9958","-","0.25%"
"Oct 18, 2021","2,892.8660","2,914.0315","2,933.5500","2,816.4019","-","-0.56%"
"Oct 15, 2021","2,909.1799","2,882.6335","2,918.2507","2,881.9551","-","0.99%"
"Oct 14, 2021","2,880.6150","2,847.5850","2,890.4424","2,847.5850","-","1.16%"
"Oct 13, 2021","2,847.5811","2,847.3167","2,853.4585","2,824.2939","-","0.01%"
"Oct 12, 2021","2,847.2339","2,853.7124","2,868.7930","2,833.7097","-","-0.23%"
"Oct 11, 2021","2,853.8469","2,830.5356","2,884.8838","2,830.5356","-","0.82%"
"Oct 08, 2021","2,830.6770","2,817.6243","2,852.8289","2,817.6243","-","0.59%"
"Oct 07, 2021","2,814.0000","2,789.6331","2,820.7715","2,742.8386","-","0.87%"
"Oct 06, 2021","2,789.6299","2,839.2583","2,859.7534","2,782.5271","-","-1.75%"
"Oct 05, 2021","2,839.2549","2,799.4561","2,848.1714","2,795.8423","-","1.42%"
"Oct 04, 2021","2,799.4529","2,754.6025","2,823.0129","2,745.9153","-","1.65%"
"Oct 01, 2021","2,754.0959","2,733.4263","2,756.9094","2,720.6541","-","0.75%"
"Sep 30, 2021","2,733.4890","2,718.1348","2,746.3677","2,691.2615","-","0.58%"
"Sep 29, 2021","2,717.8479","2,732.9998","2,736.1162","2,699.1096","-","-0.55%"
"Sep 28, 2021","2,732.9971","2,738.2212","2,769.8486","2,718.4995","-","-0.19%"
"Sep 27, 2021","2,738.2839","2,694.1868","2,742.2102","2,694.1868","-","1.63%"
"Sep 24, 2021","2,694.3491","2,675.7671","2,697.8689","2,665.3362","-","0.68%"
"Sep 23, 2021","2,676.1631","2,642.9839","2,677.9919","2,634.6987","-","1.24%"
"Sep 22, 2021","2,643.3049","2,593.5828","2,644.3650","2,593.5828","-","1.93%"
"Sep 21, 2021","2,593.2739","2,595.6001","2,621.7041","2,569.0010","-","-0.09%"
"Sep 20, 2021","2,595.4851","2,639.1245","2,639.2183","2,589.1025","-","-1.73%"
"Sep 17, 2021","2,641.0481","2,659.1299","2,661.7495","2,631.0564","-","-0.69%"
"Sep 16, 2021","2,659.2971","2,671.2913","2,676.8936","2,635.2666","-","-0.45%"
"Sep 15, 2021","2,671.2361","2,616.8628","2,685.1902","2,616.7478","-","2.08%"
"Sep 14, 2021","2,616.8601","2,612.9070","2,630.2844","2,608.3801","-","0.15%"
"Sep 13, 2021","2,612.9041","2,602.3667","2,621.2629","2,601.6584","-","0.42%"
"Sep 10, 2021","2,601.8889","2,569.4973","2,606.2607","2,557.8660","-","1.26%"
"Sep 09, 2021","2,569.4939","2,586.4834","2,598.3997","2,557.8875","-","-0.66%"
"Sep 08, 2021","2,586.5940","2,566.7717","2,601.7766","2,566.7717","-","0.77%"
"Sep 07, 2021","2,566.8730","2,599.4192","2,604.0132","2,559.9089","-","-1.27%"
"Sep 03, 2021","2,599.9871","2,603.7563","2,620.3867","2,594.6685","-","-0.14%"
"Sep 02, 2021","2,603.7529","2,571.7239","2,615.7456","2,558.5083","-","1.25%"
"Sep 01, 2021","2,571.6970","2,577.8958","2,589.9897","2,545.5703","-","-0.24%"
"Aug 31, 2021","2,577.9529","2,589.3491","2,597.3613","2,565.2214","-","-0.44%"
"Aug 30, 2021","2,589.3459","2,601.4324","2,607.1182","2,572.9265","-","0.11%"
"Aug 27, 2021","2,586.4009","2,550.3896","2,587.3669","2,550.2710","-","1.44%"
"Aug 26, 2021","2,549.6780","2,563.0620","2,566.5403","2,542.3977","-","-0.52%"
"Aug 25, 2021","2,563.0581","2,542.0615","2,565.3020","2,528.1609","-","0.81%"
