"","mean","median","sd","min","max","period"
"Heating_Oil Diesel2",0.783315369686675,0.772013651467609,0.162337977039298,0.191729718643637,1.56261692572116,"low_oil"
"Heating_Oil Natural_Gas2",0.0746419651299603,0.0654439274721673,0.112223219713133,-0.328442190584336,0.70154461667087,"low_oil"
"Heating_Oil NY_Gasoline2",0.679603134039909,0.658340147919527,0.206003483367575,0.159093698645921,2.35651786700801,"low_oil"
"Natural_Gas Crude_Oil_WTI2",0.0307532792875364,0.0318858304752623,0.0553677347961371,-0.192669314840317,0.197300795254697,"low_oil"
"Natural_Gas Diesel2",0.0144346719918478,0.0143193565739396,0.053445212128344,-0.190115374759109,0.359971037375233,"low_oil"
"Natural_Gas Heating_Oil2",0.0363485279065499,0.0365184747306653,0.0663784718641806,-0.523169507786024,0.390599120489776,"low_oil"
"Natural_Gas NY_Gasoline2",0.027666754566896,0.0266902420628954,0.0622799579242737,-0.337840468182673,0.242950561684249,"low_oil"
"NY_Gasoline Crude_Oil_WTI2",0.64595504906202,0.637429365374744,0.154628253167134,0.141748164732286,1.30679620314302,"low_oil"
"NY_Gasoline Diesel2",0.589807946091941,0.571753787883733,0.173531873546348,0.145615060816782,2.12067137824522,"low_oil"
"NY_Gasoline Heating_Oil2",0.667460679358772,0.65639909189305,0.184667199421812,0.133328782145185,1.88794349917517,"low_oil"
"NY_Gasoline Natural_Gas2",0.0568589534156393,0.0468299264679721,0.125832871207284,-0.593814732089987,0.845183136855641,"low_oil"
"Crude_Oil_WTI Diesel3",0.630858281697933,0.631142710697277,0.108683753642674,0.300448258581064,1.03027221793936,"fed_rates"
"Crude_Oil_WTI Heating_Oil3",0.630814330584187,0.624569224577899,0.0829464407494428,0.356750241029591,0.84078812757289,"fed_rates"
"Crude_Oil_WTI Natural_Gas3",0.15617419647466,0.0460716215540271,0.53660670362741,-1.25951773314821,5.34900541282103,"fed_rates"
"Crude_Oil_WTI NY_Gasoline3",0.666396290037725,0.65255680944285,0.150369350071999,0.309322413899801,1.70171081840272,"fed_rates"
"Diesel Crude_Oil_WTI3",0.736041848026138,0.752406971925059,0.197664090223592,0.248406081246201,1.2737000378468,"fed_rates"
"Diesel Heating_Oil3",0.698353713669312,0.736926223433082,0.143585077730679,0.243492238696901,0.956187639071427,"fed_rates"
"Diesel Natural_Gas3",0.0888584109738421,0.0128962002235899,0.425670189694905,-1.52918623228888,3.46450073938786,"fed_rates"
"Diesel NY_Gasoline3",0.700274836228555,0.695100766917651,0.214702349811821,0.128530996710604,1.98186505559505,"fed_rates"
"Heating_Oil Crude_Oil_WTI3",0.967516083851599,0.968570225038652,0.207159490484936,0.405084423913932,1.50847369402899,"fed_rates"
"Heating_Oil Diesel3",0.911404617193864,0.914717454400199,0.127513583944478,0.425460457440319,1.3407779844635,"fed_rates"
"Heating_Oil Natural_Gas3",0.164205810141543,0.0528392608175666,0.67102673847341,-1.87909543107785,5.77461608370067,"fed_rates"
"Heating_Oil NY_Gasoline3",0.910110788608309,0.883187607081071,0.210589619229173,0.444037351941291,2.40205439753047,"fed_rates"
"Natural_Gas Crude_Oil_WTI3",0.0302154766932394,0.0132812754426473,0.0776644374182919,-0.136586302144056,0.516430880674575,"fed_rates"
"Natural_Gas Diesel3",0.00953389813484413,0.00439642423607599,0.0597046306330523,-0.177024737093395,0.302667680837273,"fed_rates"
"Natural_Gas Heating_Oil3",0.0152908151392635,0.0117644249112666,0.0619845440127012,-0.165014394802984,0.372065280236551,"fed_rates"
"Natural_Gas NY_Gasoline3",0.00323263661045231,-0.000525902747667392,0.0695721277952576,-0.280824785345333,0.296258821109269,"fed_rates"
"NY_Gasoline Crude_Oil_WTI3",0.661208088746069,0.674170578202476,0.203143944483262,0.0923729981445874,1.14196440392039,"fed_rates"
"NY_Gasoline Diesel3",0.578968675595855,0.609565335957325,0.137294679821912,0.119167815134539,0.846234130642592,"fed_rates"
"NY_Gasoline Heating_Oil3",0.577454605932755,0.596296794671502,0.121136934915771,0.187699305338609,0.805074494800607,"fed_rates"
"NY_Gasoline Natural_Gas3",-0.0233227328592466,-0.0008489177038212,0.238390704075205,-1.89404010744304,0.697561488387183,"fed_rates"
"Crude_Oil_WTI Diesel4",0.673899676425817,0.6819309696079,0.175678873988227,0.125428514202122,1.27813703648552,"covid"
"Crude_Oil_WTI Heating_Oil4",0.768951872587271,0.783749369925658,0.217673869188242,0.0853960333110066,1.63267105003209,"covid"
"Crude_Oil_WTI Natural_Gas4",0.227697632609902,0.126795295956115,0.565965320471291,-0.281464129212396,7.17455879955663,"covid"
"Crude_Oil_WTI NY_Gasoline4",0.769463248972708,0.746902075518051,0.226651104292,0.240346517026698,1.90810370527733,"covid"
"Diesel Crude_Oil_WTI4",0.925452588514071,0.822543384344711,0.400070821283958,0.363489564589148,3.61743012237822,"covid"
"Diesel Heating_Oil4",0.910203133443473,0.911506175363831,0.138114260201213,0.384865953828364,1.47675353615462,"covid"
"Diesel Natural_Gas4",0.206369912451444,0.085960098783065,0.645156911418348,-0.953046586465846,7.86080864835359,"covid"
"Diesel NY_Gasoline4",0.874104903033961,0.824691758462292,0.246300030690003,0.445572324597691,2.36222911606217,"covid"
"Heating_Oil Crude_Oil_WTI4",0.969994142993324,0.844130439068262,0.497031860162796,0.320619922568834,4.35175743077864,"covid"
"Heating_Oil Diesel4",0.831991412192644,0.820680034939308,0.140969830043844,0.480666634703741,1.75466400763899,"covid"
"Heating_Oil Natural_Gas4",0.176640027970307,0.104366813477726,0.576717549938807,-1.13742784921984,6.60466679738707,"covid"
"Heating_Oil NY_Gasoline4",0.903383965731187,0.843573733901917,0.318819455118352,0.446320826752989,3.37966332195016,"covid"
"Natural_Gas Crude_Oil_WTI4",0.0548657153921298,0.0328083740450955,0.156830892396338,-0.750256295378002,1.19446408452349,"covid"
"Natural_Gas Diesel4",0.0352918710079948,0.020604070655542,0.0690732442705722,-0.10767708903285,0.48271051925436,"covid"
"Natural_Gas Heating_Oil4",0.0320385985109826,0.0253895756556889,0.0697409647238132,-0.257983686141025,0.345406018200879,"covid"
"Natural_Gas NY_Gasoline4",0.0863840186450674,0.0534420964073412,0.13226147412408,-0.10500943908999,0.989242837895251,"covid"
"NY_Gasoline Crude_Oil_WTI4",0.777277945489198,0.741714639270824,0.237729690947157,0.171818999283456,2.01200475999402,"covid"
